date,prob_italy_crisis,prob_ecb_shock,prob_france_contagion,prob_cds_breach_given_contagion,prob_full_crisis_scenario,adjusted_spread_bps,adjusted_cds_bps,adjusted_yield_pct
2026-10-11,0.3294,0.0969,0.2616,0.7,0.18311999999999998,31.99809865360247,46.4601742385198,6.0
2026-10-18,0.3347,0.0896,0.2536,0.7,0.17751999999999998,32.25228788823584,46.29384675522982,6.0
2026-10-25,0.3406,0.0912,0.2642,0.7,0.18494,24.765125139990182,50.347840931737906,6.0
2026-11-01,0.3321,0.0912,0.2551,0.7,0.17856999999999998,32.83734674667798,47.62498133253918,6.0
2026-11-08,0.3333,0.0916,0.2597,0.7,0.18178999999999998,26.564858279750396,46.604871711220135,6.0
2026-11-15,0.3295,0.0897,0.2536,0.7,0.17751999999999998,23.689857877017907,47.423299370111835,6.0
2026-11-22,0.3326,0.0907,0.2603,0.7,0.18220999999999998,35.50886596201523,48.88765505821046,6.0
2026-11-29,0.3339,0.0909,0.2617,0.7,0.18319,27.43549957017979,47.855889657657954,6.0
2026-12-06,0.339,0.0955,0.2617,0.7,0.18319,27.790351650303332,46.17361036498927,6.0
2026-12-13,0.3333,0.0924,0.2608,0.7,0.18255999999999997,29.324991486780156,48.04299151618403,6.0
2026-12-20,0.334,0.0961,0.2627,0.7,0.18388999999999997,24.498974670819607,49.88056448146733,6.0
2026-12-27,0.3349,0.0934,0.2631,0.7,0.18417,29.021589338136987,47.683203468586946,6.0
2027-01-03,0.3366,0.0857,0.2587,0.7,0.18108999999999997,31.569384518591832,47.1960621287938,6.0
2027-01-10,0.3276,0.0911,0.2598,0.7,0.18185999999999997,33.67540364664411,50.923021942484255,6.0
2027-01-17,0.3285,0.0921,0.2657,0.7,0.18599,27.863659346371556,46.50509899338553,6.0
2027-01-24,0.3319,0.0911,0.2571,0.7,0.17997,23.679671207376785,46.21140065486842,6.0
