date,cds_pnl,spread_pnl,options_pnl,fx_pnl,total_pnl,cumulative_pnl,return_pct
2025-10-19,42740.725173072664,-4579339.8669436425,713191.1462124704,0.0,-3823407.9955580994,-3823407.9955580994,-7.646815991116199
2025-10-26,42761.9845888811,-1338750.0,713546.3113544905,375500.0,-206941.7040566285,-4030349.699614728,-0.413883408113257
2025-11-02,42780.72633161211,-1338499.827727914,713859.4159645815,498500.0,-83359.68543172046,-4113709.3850464486,-0.1667193708634409
2025-11-09,42813.253798103346,-1338316.5130136495,714402.8293668989,573250.0,-7850.429848647211,-4121559.814895096,-0.01570085969729442
2025-11-16,42848.38048479455,-1338157.2870758697,714989.6672049878,604000.0,23680.7606139126,-4097879.054281183,0.0473615212278252
2025-11-23,42875.98691089538,-1338018.8591174553,715450.8699286189,635750.0,56057.99772205902,-4041821.056559124,0.11211599544411804
2025-11-30,42901.887699710394,-1337892.7570618312,715883.5783137836,637000.0000000001,57892.70895166299,-3983928.347607461,0.11578541790332599
2025-12-07,42926.62895620507,-1337780.3451363542,716296.9156930215,617000.0,38443.19951287226,-3945485.1480945884,0.07688639902574453
2025-12-14,42950.95484188808,-1337670.7854968188,716703.314273056,634750.0,56733.4836181252,-3888751.664476463,0.11346696723625041
2025-12-21,42971.97459445489,-1337563.9428441876,717054.4796300568,643750.0,66212.51138032414,-3822539.153096139,0.13242502276064827
2025-12-28,43000.90673574186,-1337456.5501576297,717537.8335494457,636250.0,59332.19012755784,-3763206.9629685814,0.11866438025511569
2026-01-04,43036.847996005374,-1337371.1477782915,718138.286176678,664250.0,88053.98639439186,-3675152.9765741895,0.17610797278878373
2026-01-11,43073.98399718078,-1337286.38251186,718758.6999981006,656999.9999999999,81546.30148342135,-3593606.6750907684,0.1630926029668427
2026-01-18,43103.247049085054,-1337195.8071604571,719247.5850339057,644500.0,69655.02492253366,-3523951.6501682345,0.1393100498450673
2026-01-25,43126.27624161483,-1337106.5202689595,719632.324259538,647750.0,73402.08023219346,-3450549.569936041,0.14680416046438693
2026-02-01,43153.93590136777,-1337018.5253005892,720094.4234412125,652500.0000000001,78729.83404199127,-3371819.7358940495,0.15745966808398254
2026-02-08,43173.819239834535,-1336932.3300542533,720426.6070841654,650750.0,77418.09626974666,-3294401.6396243027,0.15483619253949332
2026-02-15,43195.171074587925,-1336858.948847388,720783.3247635779,651000.0000000001,78119.54699077795,-3216282.092633525,0.1562390939815559
2026-02-22,43225.52713097816,-1336782.7130911774,721290.4735698911,644250.0,71983.28760969185,-3144298.805023833,0.1439665752193837
2026-03-01,43256.271281957306,-1336692.0066595387,721804.1070165191,650499.9999999999,78868.37163893762,-3065430.4333848953,0.15773674327787524
2026-03-08,43281.73997447086,-1336612.2823609058,722229.6056000781,639000.0,67899.06321364315,-2997531.370171252,0.1357981264272863
2026-03-15,43297.44197629526,-1336536.2397411459,722491.9350131112,634249.9999999999,63503.13724826055,-2934028.2329229917,0.1270062744965211
2026-03-22,43322.263193312305,-1336451.1464850015,722906.6173367747,644250.0,74027.7340450855,-2860000.4988779062,0.148055468090171
2026-03-29,43349.39500335135,-1336373.1894930343,723359.9028554653,624000.0,54336.10836578242,-2805664.3905121237,0.10867221673156484
2026-04-05,43374.97607198701,-1336293.8021276072,723787.2810836934,636000.0000000001,66868.4550280734,-2738795.9354840503,0.1337369100561468
2026-04-12,43397.778716362016,-1336222.0049338075,724168.2411974756,651750.0,83094.01498003013,-2655701.92050402,0.16618802996006027
2026-04-19,43422.19815082105,-1336146.4776159343,724576.2132971329,656999.9999999999,88851.93383201945,-2566849.9866720005,0.1777038676640389
2026-04-26,43459.99668022075,-1336084.4832746317,725207.709166385,622000.0,54583.222571974155,-2512266.7641000263,0.1091664451439483
2026-05-03,43476.17824054187,-1336013.4507395292,725478.0531175511,635750.0,68690.78061856376,-2443575.9834814626,0.13738156123712753
2026-05-10,43503.87309097992,-1335955.1605328517,725940.7491894412,639750.0,73239.46174756938,-2370336.521733893,0.14647892349513875
2026-05-17,43529.64434238329,-1335881.687158338,726371.3084548024,631000.0,65019.26563884772,-2305317.2560950452,0.13003853127769543
2026-05-24,43559.35682762355,-1335810.3095967348,726867.7145192983,644750.0,79366.76175018691,-2225950.4943448585,0.15873352350037384
2026-05-31,43583.67331171941,-1335743.2023975982,727273.9702783526,634249.9999999999,69364.44119247375,-2156586.0531523847,0.1387288823849475
2026-06-07,43611.966640140476,-1335675.9859507454,727746.667907073,634249.9999999999,69932.64859646792,-2086653.4045559168,0.13986529719293583
2026-06-14,43645.10742649195,-1335620.9492199142,728300.3531277687,626250.0,62574.51133434661,-2024078.8932215702,0.1251490226686932
2026-06-21,43674.61294461664,-1335554.958759702,728793.3045472505,627000.0000000001,63912.95873216528,-1960165.9344894048,0.12782591746433056
2026-06-28,43704.576100608385,-1335495.5144680168,729293.9025898314,636500.0,74002.96422242292,-1886162.970266982,0.14800592844484584
2026-07-05,43726.316239392494,-1335441.264126657,729657.1182175913,641250.0,79192.17033032665,-1806970.7999366554,0.15838434066065332
2026-07-12,43753.07114525193,-1335379.0530167494,730104.1168813476,644500.0,82978.13500985003,-1723992.6649268055,0.16595627001970004
2026-07-19,43776.571017077695,-1335318.9172026417,730496.7336966713,641750.0,80704.38751110726,-1643288.2774156984,0.1614087750222145
2026-07-26,43805.82136352416,-1335254.6877801681,730985.4254963902,640000.0,79536.55907974613,-1563751.7183359521,0.15907311815949227
2026-08-02,43840.87758359768,-1335186.8349288972,731571.1183133409,631500.0,71725.16096804151,-1492026.5573679106,0.14345032193608304
2026-08-09,43867.40076985635,-1335114.658100025,732014.2484097832,629500.0000000001,70266.99107961461,-1421759.5662882961,0.14053398215922921
2026-08-16,43890.404825444195,-1335058.363681575,732398.5839591353,666750.0,107980.6251030044,-1313778.9411852919,0.2159612502060088
2026-08-23,43927.0123772171,-1334997.140081222,733010.1981463905,650000.0000000001,91940.07044238586,-1221838.870742906,0.18388014088477173
2026-08-30,43947.599172311086,-1334940.5279376905,733354.1489241709,662500.0,104861.22015879152,-1116977.6505841142,0.20972244031758303
2026-09-06,43964.00603732807,-1334869.054743464,733628.2644308613,648500.0000000001,91223.21572472551,-1025754.4348593887,0.18244643144945102
2026-09-13,43987.91891440105,-1334801.2978682811,734027.786078175,646999.9999999999,90214.40712429467,-935540.0277350941,0.18042881424858934
2026-09-20,44015.20752888357,-1334740.1023600157,734483.7081174165,644500.0,88258.81328628433,-847281.2144488097,0.17651762657256867
2026-09-27,44046.38564194332,-1334678.2233216767,735004.6144435549,641250.0,85622.7767638216,-761658.4376849881,0.1712455535276432
2026-10-04,44075.34471175421,-1334619.176033826,735488.4470530609,641250.0,86194.61573098903,-675463.8219539991,0.17238923146197807
2026-10-11,44107.331183303424,-1334556.2415754998,736022.8607699245,654000.0,99573.95037772809,-575889.871576271,0.1991479007554562
2026-10-18,44136.688976597594,-1334492.0950467293,736513.35669969,634000.0,80157.95062955818,-495731.92094671284,0.16031590125911635
2026-10-25,44163.14235749318,-1334431.7476680197,736955.3277836309,660500.0,107186.72247310448,-388545.19847360835,0.21437344494620894
2026-11-01,44193.347365801725,-1334374.3235584034,737459.9801482669,637750.0,85029.00395566516,-303516.1945179432,0.17005800791133033
2026-11-08,44224.265926422995,-1334320.7268751967,737976.5551147958,649250.0,97130.09416602214,-206386.10035192105,0.19426018833204428
2026-11-15,44254.791325382954,-1334266.6656285385,738486.5621615924,634000.0,82474.68785843684,-123911.41249348421,0.16494937571687368
2026-11-22,44281.29122556431,-1334207.9579432348,738929.3133670917,650750.0,99752.64664942108,-24158.765844063135,0.19950529329884215
2026-11-29,44304.55654435554,-1334154.1192329025,739318.0228367553,654250.0,103718.46014820831,79559.69430414517,0.20743692029641664
2026-12-06,44336.83252977805,-1334088.2743133176,739857.2804586958,654250.0,104355.83867515635,183915.53297930153,0.2087116773503127
2026-12-13,44356.12099047684,-1334031.477725224,740179.5468178185,651999.9999999999,102504.19008307112,286419.72306237265,0.20500838016614226
2026-12-20,44390.73593936845,-1333981.274386844,740757.8848400477,656750.0,107917.34639257216,394337.0694549448,0.2158346927851443
2026-12-27,44424.868420537845,-1333919.873311324,741328.1629970114,657750.0,109583.1581062252,503920.22756117,0.2191663162124504
2027-01-03,44446.26256265314,-1333868.8815265996,741685.6122737505,646750.0,99012.99330980389,602933.2208709739,0.19802598661960777
2027-01-10,44472.28990609017,-1333812.5468044379,742120.4727725637,649499.9999999999,102280.21587421582,705213.4367451897,0.20456043174843166
2027-01-17,44501.27789955134,-1333761.1663468205,742604.8000548803,664250.0,117594.91160761123,822808.3483528009,0.23518982321522244
2027-01-24,44526.6367316216,-1333699.6243774698,743028.4924615773,642750.0,96605.5048157291,919413.85316853,0.1932110096314582
