date,mean,median,p5,p25,p75,p95
2025-10-19,40.74896946367474,40.74896946367053,40.74896946367053,40.74896946367053,40.74896946367053,40.74896946367053
2025-10-26,40.75133162098679,40.74892357456341,40.7351989330599,40.74344099501187,40.754417138090716,40.7629206660503
2025-11-02,40.75341403684579,40.748918588862985,40.72871108159344,40.74106597934699,40.75684296087709,40.769859243422005
2025-11-09,40.75702819978926,40.74903115742639,40.723727811891365,40.73927091807165,40.75890419505861,40.77747565436836
2025-11-16,40.76093116497717,40.7491380105247,40.719012075503215,40.737651103210695,40.760957394269624,40.787700469588145
2025-11-23,40.763998545655035,40.74934427237029,40.713997108205525,40.736202709510096,40.76270334734625,40.844692336860135
2025-11-30,40.76687641107893,40.74952205988599,40.70887334362314,40.73524182799042,40.76458417143148,40.934065467265654
2025-12-07,40.76962543957834,40.74956981650291,40.70294065563403,40.73398185470252,40.76687037272072,41.00946090878297
2025-12-14,40.77232831576534,40.74985790743732,40.69739991167912,40.73306656596558,40.768592430650834,41.06597609474797
2025-12-21,40.77466384382832,40.7506010096359,40.69067453787914,40.731990013520594,40.77047033731462,41.09924902974952
2025-12-28,40.77787852619354,40.75097749338066,40.68116115415669,40.73096320840289,40.77315171552581,41.13294929262764
2026-01-04,40.78187199955615,40.75108452443774,40.66869320082773,40.730078566735685,40.77486125703185,41.18456157388322
2026-01-11,40.785998221908976,40.75163056248199,40.64916529614998,40.72906749385254,40.77666086125399,41.21716915532178
2026-01-18,40.78924967212056,40.75167754295046,40.62482813394899,40.72784313967288,40.779039377608456,41.24605057033169
2026-01-25,40.79180847129054,40.752213062885666,40.60042867768125,40.72744342102399,40.781699463390225,41.27712750679566
2026-02-01,40.79488176681864,40.75225914922982,40.58396594281915,40.72686173655077,40.783401961022186,41.30054993829602
2026-02-08,40.79709102664828,40.75296093461229,40.56278498914849,40.72569610707013,40.785699401242354,41.323765821274066
2026-02-15,40.79946345273199,40.753532095622504,40.54762964758714,40.724644137930284,40.78787639215084,41.34284137377497
2026-02-22,40.80283634788646,40.754369249529574,40.52999064118757,40.723836701785714,40.790781268763865,41.36354094889882
2026-03-01,40.806252364661916,40.75490687375128,40.5141389123305,40.72270438789596,40.793821070569074,41.37574880534772
2026-03-08,40.809082219385644,40.7554424716527,40.491012079635006,40.72157657049358,40.79642880937736,41.39092179158683
2026-03-15,40.81082688625503,40.75543616513151,40.47031562961821,40.72057452999279,40.798919768495495,41.40581186406986
2026-03-22,40.813584799256915,40.75579329782802,40.46522943211663,40.719371694145636,40.80192688281008,41.41298623522785
2026-03-29,40.816599444816816,40.756736404953536,40.45392745046514,40.71858894353666,40.80639675740936,41.42652878813529
2026-04-05,40.819441785776334,40.75710412675372,40.45077398938419,40.71816420040808,40.80988789127656,41.43941392086312
2026-04-12,40.82197541292911,40.75771266433844,40.4435166425215,40.71649355633973,40.8142446354503,41.451668505157286
2026-04-19,40.824688683424554,40.75823461138134,40.431993883267275,40.71580447789627,40.818717332899055,41.46520925305116
2026-04-26,40.82888852002453,40.75946614038473,40.428013539817954,40.715782056541876,40.82525868171676,41.48291801463906
2026-05-03,40.83068647117132,40.759934263648475,40.416390192555895,40.71464477934065,40.830666587541934,41.487468079482
2026-05-10,40.83376367677555,40.76077709109305,40.40756238354175,40.71462142705959,40.83986796250667,41.50346782274439
2026-05-17,40.8366271491537,40.761331480447986,40.40288702779565,40.714573675610616,40.848581139759574,41.519531905413395
2026-05-24,40.83992853640262,40.76225711298288,40.39332432220122,40.71387281959885,40.85740275413208,41.531988192969116
2026-05-31,40.84263036796882,40.762965664302804,40.38882773219684,40.71320067593375,40.869698402574365,41.538385481707934
2026-06-07,40.84577407112672,40.763431713751686,40.38285564636343,40.71262957209798,40.88770975488201,41.55390535650288
2026-06-14,40.84945638072133,40.7649298710117,40.377297887607874,40.71232291214584,40.90154822078303,41.5656276587272
2026-06-21,40.85273477162407,40.76579563790493,40.37585399519841,40.71172705721571,40.915819675320776,41.58265329929396
2026-06-28,40.85606401117871,40.76750657721341,40.372774867556345,40.71178108969443,40.92845949577954,41.59821470606153
2026-07-05,40.85847958215472,40.76825022995657,40.36805048827872,40.711091250474944,40.940606062591,41.61426252196129
2026-07-12,40.86145234947244,40.76897047250938,40.363698390403314,40.7097702702975,40.9507914371348,41.622148115708484
2026-07-19,40.864063446341966,40.770459557040596,40.353350006789704,40.708196375700346,40.96186866040033,41.634133195360775
2026-07-26,40.86731348483602,40.77117145330918,40.34756276710535,40.70789387656164,40.97469138652576,41.64413771429258
2026-08-02,40.87120862039974,40.77234181837113,40.34514544582108,40.70749015915822,40.988147759423406,41.6552321944484
2026-08-09,40.87415564109515,40.77349833533171,40.338362326650696,40.70697168704952,41.001630462738056,41.66352558113308
2026-08-16,40.87671164727158,40.774423930513066,40.337732469382644,40.70565840121365,41.00810888353544,41.67544442931524
2026-08-23,40.88077915302412,40.776237725899385,40.33801910505888,40.705847904706246,41.021795322417546,41.68115001701142
2026-08-30,40.88306657470123,40.77671282470644,40.33408007714975,40.70553615433092,41.02959052641517,41.68591729079599
2026-09-06,40.88488955970312,40.77795253568989,40.3261642373617,40.704630001738714,41.03883994207155,41.690727171845516
2026-09-13,40.887546546044554,40.77973020998886,40.31828169686877,40.70471874829834,41.045377077035226,41.69852078985567
2026-09-20,40.890578614320404,40.78091187349716,40.31200419098381,40.703428906928075,41.05870421462626,41.70659378919719
2026-09-27,40.894042849104814,40.78292765182057,40.308947955752124,40.70269553443989,41.06465054149389,41.72185182964342
