date,mean,median,p5,p25,p75,p95
2025-10-19,7.870491309854118,7.870491309854726,7.870491309854726,7.870491309854726,7.870491309854726,7.870491309854726
2025-10-26,7.883552677304554,7.88214233124595,7.556634817142296,7.747325439156881,8.018752702259585,8.209515052054954
2025-11-02,7.893547039145673,7.895519265834846,7.4228983340453425,7.702847620594973,8.087789419569912,8.355539096867641
2025-11-09,7.9027005147591565,7.907764139294577,7.339522533376345,7.671220484412761,8.131728989607542,8.464680447839289
2025-11-16,7.913490965932935,7.915797600295012,7.263243730463278,7.6431050744442945,8.185691162463453,8.555252282922922
2025-11-23,7.9237489874650535,7.925692684202636,7.180064290723556,7.626875714607262,8.220373351968957,8.655152011216332
2025-11-30,7.935633187033147,7.939756648921039,7.134417905397623,7.6100133545949245,8.259951193555631,8.732508070850505
2025-12-07,7.942290293567686,7.947309106053778,7.067879933026638,7.591811633163918,8.293036688405634,8.804561574226021
2025-12-14,7.951787711956024,7.95283261347817,7.024128960656287,7.574624006367279,8.327068795978724,8.878767305854577
2025-12-21,7.960406266710322,7.968625119362573,6.981360036104042,7.555148897057905,8.364732950626331,8.931066642438143
2025-12-28,7.968175622933163,7.972872855909159,6.9319513201853376,7.544036645677877,8.397184752236782,8.996420259420832
2026-01-04,7.974891444170612,7.9745436846399205,6.889331170838258,7.5286134040028845,8.428255983551331,9.05060382376147
2026-01-11,7.986886253032126,7.986605001018406,6.860246050227941,7.52083179832845,8.461101931132752,9.098671456114257
2026-01-18,7.998151631080317,7.994300961091774,6.8163510156882055,7.5203780829586995,8.490189921173709,9.157910890483262
2026-01-25,8.009012642792934,8.006232041692222,6.767513604751855,7.514649016196422,8.511408187457723,9.231217950225194
2026-02-01,8.017606105107598,8.02287820107619,6.749697153891574,7.506825376031002,8.530031367101364,9.284513195364228
2026-02-08,8.028734488813486,8.031136376134778,6.6906499083774,7.497263912878491,8.574124666214988,9.315244455685868
2026-02-15,8.035623087365275,8.042946997493912,6.652344097578337,7.4769902284446195,8.59067724758901,9.365387228325453
2026-02-22,8.04522609848837,8.051910508413219,6.644031125723092,7.479355113582833,8.626237489126307,9.421834156616805
2026-03-01,8.061095981028648,8.063905144643794,6.611165532526576,7.4805882380683,8.649853408220677,9.488946814758132
2026-03-08,8.072124307274022,8.080044383944621,6.592745410554673,7.474131287409051,8.687563709346492,9.543430246596214
2026-03-15,8.080830450321937,8.09029550994828,6.578079133066783,7.461889436570164,8.70342523468727,9.582488005396868
2026-03-22,8.094081474252361,8.101955278100519,6.534898177544892,7.46220797015506,8.726762832885171,9.611860161172807
2026-03-29,8.103938283467242,8.099567933467027,6.511088160004471,7.45433389331114,8.7661295549075,9.682831742164952
2026-04-05,8.117468706937228,8.11519883900909,6.494544748762718,7.449990566786008,8.787962719956443,9.720747208437446
2026-04-12,8.129491076497748,8.120277828170948,6.465007965667443,7.447970158823749,8.812344948600831,9.773145820414937
2026-04-19,8.141821420695031,8.135955088993306,6.444860895001657,7.454192014497384,8.839798234717513,9.81613870645885
2026-04-26,8.148893126332029,8.140884586597885,6.428332840561308,7.442312775164465,8.864698541979484,9.857530821820635
2026-05-03,8.162578766619008,8.166268987036315,6.42163520743255,7.462012308482406,8.87940495312866,9.89517209200014
2026-05-10,8.168282215196408,8.167239578674636,6.395224729841496,7.437394467950592,8.902489800707235,9.933978843447456
2026-05-17,8.182847531829479,8.178720332184543,6.35513977926099,7.4453503869527005,8.924788649246581,9.970512475528233
2026-05-24,8.193939021137659,8.191501014143324,6.345169814422073,7.438619950503935,8.950462373878068,10.017320934754846
2026-05-31,8.20285822110248,8.19642396347007,6.323876926075849,7.426113732246311,8.977103493285108,10.069036021753332
2026-06-07,8.214281726978337,8.20925338471568,6.309332791878079,7.434066797619296,8.998371863624177,10.084377677974759
2026-06-14,8.221549685488826,8.22038268559615,6.2964945716801015,7.434080841897765,9.017404307377138,10.129371387544515
2026-06-21,8.229354230503397,8.223115346075097,6.2698759814031,7.421363088500026,9.033035883531248,10.161441740168845
2026-06-28,8.234224678803079,8.238393086535616,6.239619238689251,7.422391942710395,9.049630379690994,10.186716490477622
2026-07-05,8.241409623558418,8.23875409368815,6.233994563207323,7.417254520311733,9.060810441007588,10.231416952229216
2026-07-12,8.2518344811139,8.257721695560292,6.2350661119625075,7.41428344766893,9.097214748023989,10.255589731025262
2026-07-19,8.258426081134903,8.27648923827922,6.2022717900835245,7.40120053848845,9.116249572273155,10.301082610322588
2026-07-26,8.270620479835664,8.272266650792492,6.1745261144799155,7.409327679943108,9.123983380247733,10.33381253335515
2026-08-02,8.283649887654189,8.280567544210058,6.171677929184629,7.407125942826346,9.148211139206351,10.348633920544446
2026-08-09,8.299639240569618,8.297791967265859,6.155555170292758,7.407654997997451,9.165525040798931,10.39967666200663
2026-08-16,8.306004237464682,8.306225251817965,6.140218334221991,7.4203565169027,9.188092463930117,10.420559698924485
2026-08-23,8.315203031040834,8.31567508292179,6.124558834852007,7.4204563278001325,9.201782282474944,10.45613344580899
2026-08-30,8.3220310562034,8.330303230288578,6.127705940457854,7.42518444036266,9.20932008746494,10.485950774721312
2026-09-06,8.33519406135313,8.35112283857777,6.074629491776814,7.421426568887667,9.237536052625146,10.520065447824301
2026-09-13,8.348106787229876,8.361123981029003,6.092537477317747,7.419473715506161,9.265091567595343,10.553173276687705
2026-09-20,8.359163698249716,8.37085665590871,6.081410493709251,7.422400342641936,9.297464336241,10.572693885174642
2026-09-27,8.368262244413232,8.383220708917854,6.050155130467771,7.425795558807608,9.318872055987175,10.598207632899069
