date,mean,median,p5,p25,p75,p95
2025-10-19,111.19999999997928,111.2,111.2,111.2,111.2,111.2
2025-10-26,111.60154744126848,111.60091577404506,111.10670277077713,111.39859767226659,111.80391375439285,112.09642602635776
2025-11-02,112.00161175318244,112.00205427252008,111.29788723982324,111.71204498956202,112.28743531097878,112.69766167643903
2025-11-09,112.40351010516984,112.40671916906639,111.55089137163056,112.05722998958706,112.75219607161135,113.25566811697998
2025-11-16,112.79993066145252,112.79740994478601,111.82963603452787,112.39777279470736,113.20016841022786,113.7901916951049
2025-11-23,113.19977289332832,113.19786703951101,112.11563193380036,112.74969252291501,113.64630762957682,114.30043156147926
2025-11-30,113.60348248315209,113.59814076066186,112.40925098714285,113.12218400960369,114.08846405669263,114.8113956853599
2025-12-07,114.00445876842342,113.99854989388726,112.68417755271449,113.48047437795519,114.51985640870672,115.30540826537163
2025-12-14,114.41021103450642,114.41288176102046,113.01801741080513,113.84853207304153,114.9698501998842,115.8089077473177
2025-12-21,114.81308652109581,114.81207916339605,113.36201688996769,114.19485253863611,115.4090656036545,116.2797248562667
2025-12-28,115.20951369906389,115.1954909986631,113.65217234035588,114.57141091120354,115.84445576621971,116.76999975420635
2026-01-04,115.61113791193243,115.6123018387426,113.99844140514624,114.93278910855216,116.27560635286909,117.2511557866212
2026-01-11,116.01069391612707,116.00549443765028,114.31856523781188,115.29902654223052,116.71216682428253,117.74328555879738
2026-01-18,116.41143715175714,116.41159633847849,114.65149881388959,115.66308332363533,117.13895973621985,118.19765938839318
2026-01-25,116.8136405396821,116.81736704333812,114.98006499764645,116.05359688833109,117.55887404672723,118.66526417715534
2026-02-01,117.21203230714737,117.22190927327907,115.29201163629916,116.41866801257838,117.99161784323269,119.12805944449494
2026-02-08,117.61756368738502,117.61662285473108,115.64747734047721,116.8191547148425,118.43035457466921,119.58767565625938
2026-02-15,118.0215042898587,118.01609488574566,116.00974699315323,117.19433226987636,118.85496122499006,120.05741006948213
2026-02-22,118.42463685137625,118.43410014114133,116.34207006752834,117.57033378577499,119.27321389396616,120.49008490635894
2026-03-01,118.82284770047562,118.81604421228266,116.68617680425649,117.95965478377181,119.70461436339164,120.95680593875943
2026-03-08,119.22800757844753,119.23688761369607,117.05194185884548,118.33902695896518,120.12356924232834,121.41008968785734
2026-03-15,119.62368013227415,119.63776494375347,117.36511707966427,118.69474440209703,120.54356409514635,121.85787392011511
2026-03-22,120.02061524585483,120.03793104269386,117.707527536444,119.07526380235494,120.957618212474,122.30529158109331
2026-03-29,120.41513630033934,120.42428957966064,118.03974995476186,119.44811358843695,121.38305642732311,122.74723656169841
2026-04-05,120.81229483773133,120.81839572045125,118.401903661975,119.8170859948231,121.79772302080849,123.1734809723928
2026-04-12,121.21302821359251,121.22170875550842,118.78477765342828,120.20306826232817,122.2181696497189,123.65978874000663
2026-04-19,121.60978107119617,121.6311144496452,119.0964830915897,120.59218545433512,122.64421809124316,124.07692696794592
2026-04-26,122.01399264785763,122.02619438318818,119.44495204270225,120.96925840348563,123.06613003066398,124.5297259095303
2026-05-03,122.41544982660537,122.4279594863792,119.80194325024175,121.35128970203886,123.47344136421431,125.00527412477828
2026-05-10,122.81728938472392,122.82690671430528,120.1591300038232,121.74621388889375,123.90672715541328,125.44961980920638
2026-05-17,123.22051307228017,123.21623026324896,120.50108187971175,122.10856891568639,124.3234410739132,125.89977826767797
2026-05-24,123.61878376031234,123.62671075867746,120.86743066375,122.4926226023811,124.73412867975702,126.34033917022016
2026-05-31,124.01773010781088,124.04392004756932,121.23106312628012,122.87192648671086,125.15252145372065,126.76937180179536
2026-06-07,124.41781963229406,124.43645079193377,121.6221621565289,123.25652472876827,125.57600303755353,127.23326040559647
2026-06-14,124.82113772637308,124.83088186725561,121.94256126363354,123.6490295207753,125.99612269822839,127.66599090296774
2026-06-21,125.21962762224464,125.23858199045685,122.28963888236855,124.04041328556124,126.40509462602058,128.12097207235033
2026-06-28,125.6202200495339,125.63350008648601,122.62942445463025,124.40916370283895,126.82430603975595,128.57175536901326
2026-07-05,126.02823116383058,126.04544015332677,122.98697934289325,124.79977997837669,127.25330665548344,129.01131070583233
2026-07-12,126.43217167115503,126.44955402171288,123.34255830977007,125.19686910324154,127.67703835711403,129.4676239193428
2026-07-19,126.83069786010036,126.83299366179999,123.70444689556358,125.59204752066557,128.08088593011928,129.9289433710264
2026-07-26,127.22981948206701,127.2517969635708,124.0867917984819,125.9570113569959,128.49599161954185,130.36871165411216
2026-08-02,127.63145672939257,127.65027872283434,124.45531556641122,126.36740986839418,128.89583756054188,130.7969559587943
2026-08-09,128.03366102266384,128.05513525051015,124.81354459030656,126.75086629175343,129.33618665306477,131.25918896337322
2026-08-16,128.43072467895948,128.42437660104315,125.17130004224686,127.12549831353466,129.74835556120792,131.67354356603843
2026-08-23,128.83598533066623,128.8413873592291,125.54286302619484,127.52070386264057,130.18381194512017,132.1220691522635
2026-08-30,129.23595496152151,129.2241354059022,125.917598317291,127.89388701278634,130.59193128675776,132.54066699833143
2026-09-06,129.63410029113362,129.64125000535103,126.30747036819892,128.29144311497467,130.99871754528175,132.9203884619344
2026-09-13,130.0289050143167,130.02986453255917,126.6675174396004,128.66493651413333,131.4227071206642,133.35153632036116
2026-09-20,130.43014149921922,130.4312822173979,127.01197242246967,129.06963886384224,131.83238945847603,133.79566173593838
2026-09-27,130.83156538491593,130.81995340922617,127.3934206984578,129.428407939655,132.22017115886345,134.2623452741525
2026-10-04,131.2330636864968,131.22781599604005,127.72883642962903,129.84419025850266,132.6494562029403,134.65718353925604
2026-10-11,131.63285283853236,131.63764137624793,128.05867133624122,130.2274366444507,133.07762311335256,135.11553449146834
2026-10-18,132.03121916551004,132.0141551786444,128.42292126813092,130.59616911173035,133.47426610979403,135.5587282262421
2026-10-25,132.42677241113424,132.4107705452464,128.77416777889172,130.98267678865932,133.8880980096737,135.98492274903572
2026-11-01,132.82786697093937,132.8161101783537,129.16948778654302,131.37109223064596,134.3149993204717,136.43308149872738
2026-11-08,133.22739912799835,133.2402402618792,129.52571323860516,131.74951620465345,134.71854849061822,136.86931070216548
2026-11-15,133.63025462648736,133.6295982532347,129.86762382617374,132.16762875354826,135.13435579077893,137.32469266287856
2026-11-22,134.0305340749813,134.0377629644458,130.2730189895011,132.5505108575215,135.54428693723733,137.75018901644816
2026-11-29,134.428152877944,134.42436634908552,130.6297396170771,132.94301879940323,135.9551960436812,138.1799961357164
2026-12-06,134.81993639495377,134.81866101396622,130.97704869104473,133.3033333243042,136.36345085034134,138.6157415452043
2026-12-13,135.22237117821328,135.21407725230995,131.3826510109007,133.69748950928263,136.7850603876944,139.0785652257577
2026-12-20,135.62966582989992,135.63124113305412,131.7717925272535,134.07053962888227,137.1945531867812,139.50044344362558
2026-12-27,136.02333249459173,136.02250761339087,132.11181219688962,134.45563589978528,137.61947861294018,139.95332269548086
2027-01-03,136.42105238718491,136.43477388660108,132.46518444289853,134.82076864705712,138.0388860823181,140.39739869970583
2027-01-10,136.8196879076371,136.82038370490417,132.86245160047486,135.21889112093174,138.43424659196864,140.81790561523562
2027-01-17,137.22251543832826,137.22397392310833,133.23598275107202,135.60628458759027,138.84085194590645,141.25210629753312
2027-01-24,137.62278901792382,137.62837728942725,133.59105442540476,136.01412927251764,139.25544227508857,141.62879572192278
